long_name,age,nationality,club,overall
Pascal Petlach,20,Austria,FC Admira Wacker Mödling,57
Mathias Alain Fischer,20,France,AS Nancy Lorraine,57
Jarno De Smet,20,Belgium,KV Kortrijk,57
Léo Seydoux,21,Switzerland,Neuchâtel Xamax,57
Aaron Reardon,20,Australia,Brisbane Roar,57
Jimmy Congo,21,Colombia,Deportivo Cali,57
Tate Schmitt,22,United States,Real Salt Lake,57
Jad Mouaddib,20,France,Stade Malherbe Caen,57
Leonardo Lukacevic,20,Austria,FC Admira Wacker Mödling,57
Falah Waleed,20,United Arab Emirates,Al Ain FC,57
Steven Boyd,22,Scotland,Hamilton Academical FC,57
Dominic Bernard,22,England,Forest Green Rovers,57
Nicholas Hamalainen,22,Finland,Queens Park Rangers,57
Kosta Petratos,21,Australia,Newcastle Jets,57
Javier Alexis Orobio Rincón,22,Colombia,Atlético Bucaramanga,57
Niklas Klinger,23,Germany,VfL Wolfsburg,57
Santiago Jiménez,21,Colombia,Envigado FC,57
Callum Maycock,21,England,Coventry City,57
Harry Phillips,21,England,Southend United,57
Matthew Platt,21,England,Blackburn Rovers,57
Laurence Bilboe,21,England,Rotherham United,57
Antonio Ramírez,20,Chile,CD Universidad de Concepción,57
Justin Vom Steeg,22,United States,LA Galaxy,57
Devante Rodney,21,England,Salford City,57
Alex Fletcher,20,England,Plymouth Argyle,57
Daniel Kemp,20,England,West Ham United,57
Jack Kiersey,20,England,Walsall,57
Cameron Yates,20,Scotland,Wycombe Wanderers,57
Alexander Ammitzbøll,20,Denmark,Aarhus GF,57
安井 拓也,20,Japan,Vissel Kobe,57
김준범 Joon Beom Kim,21,Korea Republic,Gyeongnam FC,57
Aidan Stone,19,England,Mansfield Town,57
Denis Jäpel,21,Germany,FSV Zwickau,57
Christopher Giuliani,20,Austria,SK Sturm Graz,57
伊藤 研太,20,Japan,Shimizu S-Pulse,57
Benjamín Rivera,19,Chile,CD Everton de Viña del Mar,57
Moussa Soumaré,21,France,La Berrichonne de Châteauroux,57
Karol Stanek,19,Poland,Piast Gliwice,57
Mergim Laci,21,Sweden,Falkenbergs FF,57
Alexis Serna,21,Colombia,Alianza Petrolera,57
Rakan Al Shamlan,20,Saudi Arabia,Al Shabab,57
Griffin Dorsey,20,United States,Toronto FC,57
Kamal Miller,22,Canada,Orlando City SC,57
Carlo Casap,20,Romania,FC Viitorul,57
Enzo Ferrario,19,Chile,Universidad Católica,57
Eleuterio Jiménez,21,Mexico,Club Atlas,57
Joshua Mroß,22,Germany,Chemnitzer FC,57
Yusuf Türk,21,Turkey,Gazişehir Gaziantep F.K.,57
Raouf Mroivili,20,France,FC Metz,57
Dylan Fage,20,France,Oldham Athletic,57
Jules Sylvestre-Brac,20,France,Grenoble Foot 38,57
Andrea Tripicchio,23,Italy,Crotone,57
Alex Purver,23,England,Östersunds FK,57
Steve Shamal,23,France,Stade de Reims,57
Scott Allardice,21,Scotland,Bohemian FC,57
Georgie Kelly,22,Republic of Ireland,Dundalk,57
Nicolas Hunziker,23,Switzerland,FC Thun,57
Cian Coleman,22,Republic of Ireland,St. Patrick's Athletic,57
Bowen Huang,23,China PR,Wuhan Zall,57
Mads Kaalund,22,Denmark,Silkeborg IF,57
Hubert Gostomski,21,Poland,Jagiellonia Białystok,57
Jamie Mascoll,22,England,Wycombe Wanderers,57
Onur Ünlüçifçi,22,Germany,SG Sonnenhof Großaspach,57
Leon Brüggemeier,21,Germany,SC Paderborn 07,57
최영은 Young Eun Choi,23,Korea Republic,Daegu FC,57
Mohammed Al Haeti,23,Saudi Arabia,Ettifaq FC,57
Mateusz Hołownia,21,Poland,Śląsk Wrocław,57
Remigiusz Borkała,20,Poland,Piast Gliwice,57
Dawid Pakulski,20,Poland,Zagłębie Lubin,57
Shusuke Yonehara,21,Japan,Matsumoto Yamaga,57
Ionuț Șerban,23,Romania,Dinamo Bucureşti,57
Martín Zubimendi Ibáñez,20,Spain,Real Sociedad,57
Andrei Cordea,20,Romania,FC Hermannstadt,57
Flemming Niemann,22,Germany,FC Carl Zeiss Jena,57
Ianoș Brînză,20,Moldova,FC Botoşani,57
Oan Djorkaeff,22,France,St. Mirren,57
Patrick Flottmann,22,Australia,Sydney FC,57
Eliezer Ira Tape,21,Ivory Coast,Côte d'Ivoire,57
André Österholm,23,Sweden,IK Sirius,57
林 大地,22,Japan,Sagan Tosu,57
Andreas Hansen,23,Denmark,Aalborg BK,57
Charles Vernam,22,England,Grimsby Town,57
Marco Albertoni,23,Italy,Genoa,57
Jake Beesley,22,England,Salford City,57
Ryan Cooney,19,England,Burnley,57
Orhan Vojić,22,Austria,Shamrock Rovers,57
丛震,22,China PR,Shanghai Greenland Shenhua FC,57
Apostolos Stamatelopoulos,20,Australia,Western United FC,57
Adam Crookes,21,England,Port Vale,57
Harrison Biggins,23,England,Fleetwood Town,57
Sergio Rafael Pabón Barros,23,Colombia,Junior FC,57
이현식 Hyun Sik Lee,23,Korea Republic,Gangwon FC,57
Dong Kyung Lee,22,Korea Republic,Ulsan Hyundai FC,57
Artem Sokol,22,Russia,Tromsø IL,57
Jinqing Li,22,China PR,Shenzhen FC,57
Amadou Konaté,22,Mali,FK Bodø/Glimt,57
イサカ ゼイン,22,Japan,Kawasaki Frontale,57
James Kellermann,24,England,St. Mirren,57
Diego Tapia,24,Chile,Curicó Unido,57
Jack Sowerby,24,England,Fleetwood Town,57
Will Collar,22,England,Hamilton Academical FC,57
上原 力也,22,Japan,Júbilo Iwata,57
Hassan Mohammed Raghfawi,23,Saudi Arabia,Damac FC,57
Diaz Wright,21,England,Colchester United,57
苏缘杰,24,China PR,Tianjin TEDA FC,57
Paddy Kirk,21,Republic of Ireland,Bohemian FC,57
姚均晟,23,China PR,Tianjin Quanjian FC,57
Giacomo Volpe,23,Italy,US Cremonese,57
Michael Olczyk,22,Poland,Arka Gdynia,57
Hassani Dotson,22,United States,Minnesota United FC,57
Hugo Garcia,21,France,Rodez Aveyron Football,57
Maximilian Rohr,24,Germany,FC Carl Zeiss Jena,57
Cristian Mina,22,Colombia,Cúcuta Deportivo,57
Robert Grecu,21,Romania,Astra Giurgiu,57
Ulaş Zengin,22,Turkey,Gazişehir Gaziantep F.K.,57
Juan José Miguel,22,Mexico,U.N.A.M.,57
Louis John,25,England,Cambridge United,57
向汉天,23,China PR,Beijing Renhe FC,57
Nikita Haikin,23,Russia,FK Bodø/Glimt,57
孙峻岗,23,China PR,Shanghai SIPG FC,57
Zachary Herivaux,23,Haiti,New England Revolution,57
Yasir Subaşı,23,Turkey,Kayserispor,57
Josh Hope,21,Australia,Melbourne Victory,57
Michael Lansing,25,United States,AC Horsens,57
Sebastián Felipe Silva Lavanderos,22,Chile,CD Palestino,57
Arian Kabashi,22,Sweden,IF Elfsborg,57
岩武 克弥,23,Japan,Urawa Red Diamonds,57
Jan Just,22,Germany,SV Waldhof Mannheim,57
Thomas Secchi,22,France,Rodez Aveyron Football,57
Maciej Wolski,22,Poland,LKS Lodz,57
Alessio Carlone,23,Belgium,Politehnica Iaşi,57
Tomáš Huk,24,Slovakia,Piast Gliwice,57
Mike Grim,22,Netherlands,RKC Waalwijk,57
Hampus Svensson,24,Sweden,Falkenbergs FF,57
James Doona,21,Republic of Ireland,St. Patrick's Athletic,57
Ramón Pasquel,23,Mexico,Deportivo Toluca,57
ポープ・ウィリアム,24,Japan,Oita Trinita,57
Mirlind Kryeziu,22,Kosovo,FC Zürich,57
Lorenzo Polvani,24,Italy,Empoli,57
Ross Callachan,25,Scotland,St. Johnstone FC,57
Mathias Karlsson,23,Sweden,Örebro SK,57
榎本 大輝,23,Japan,Nagoya Grampus,57
Richie Loughty,24,England,Bury,57
Uroš Đuranović,25,Montenegro,Korona Kielce,57
Khaled Al Khathlan,23,Saudi Arabia,Abha Club,57
Markus Fjörtoft,25,Norway,Hamilton Academical FC,57
Daniel O'Reilly,24,Republic of Ireland,Finn Harps,57
王耀鹏,24,China PR,Dalian YiFang FC,57
Paul Lewis,24,England,Cambridge United,57
Bandar Baajaj,24,Saudi Arabia,Damac FC,57
Filip Bainović,23,Serbia,Górnik Zabrze,57
Ryan Lloyd,25,England,Port Vale,57
Adebayo Azeez,25,England,Newport County,57
John  Kavanagh,24,Republic of Ireland,Waterford FC,57
Mathias Fredriksen,25,Norway,Mjøndalen IF,57
Eric Bird,26,United States,Houston Dynamo,57
Jaman Abdullah Al Dossary,25,Saudi Arabia,Al Fateh,57
吴伟,22,China PR,Tianjin Quanjian FC,57
Amer Ordagić,26,Bosnia Herzegovina,SK Brann,57
Erlend Tolnes Sørhøy,24,Norway,Ranheim Fotball,57
Iustin Popescu,25,Romania,Chindia Târgovişte,57
Joshua Hare,24,England,Bristol Rovers,57
路尧,26,China PR,Henan Jianye FC,57
김영빈 金永斌,27,Korea Republic,Sangju Sangmu FC,57
Jermaine Hylton,26,England,Motherwell,57
Marwan Al Haidari,23,Saudi Arabia,Al Shabab,57
Kevin Lynch,27,Republic of Ireland,Waterford FC,57
中山 仁斗,27,Japan,Júbilo Iwata,57
Kengo Tanaka,29,Japan,Matsumoto Yamaga,57
Matthew Warburton,27,England,Northampton Town,57
Kyriakos Stamatopoulos,39,Canada,AIK,57
Daryl Fordyce,32,Northern Ireland,Sligo Rovers,57
Rene Gilmartin,32,Republic of Ireland,Bristol City,57
Darren McCauley,28,Republic of Ireland,Derry City,57
Luka Mijaljevic,28,Sweden,AFC Eskilstuna,57
Alexander Nadj,32,Sweden,BK Häcken,57
Michael Barker,25,Republic of Ireland,Bohemian FC,57
Dominik Budzyński,27,Poland,LKS Lodz,57
Jacob Borg,28,Malta,Finn Harps,57
朱晓刚,31,China PR,Dalian YiFang FC,57
孙乐,29,China PR,Shanghai SIPG FC,57
Dalong Wang,30,China PR,Shenzhen FC,57
王国明,29,China PR,Henan Jianye FC,57
Giacomo Poluzzi,31,Italy,SPAL,57
Richie Bennett,28,England,Port Vale,57
姜文骏,29,China PR,Hebei China Fortune FC,57
박광일 Kwang Il Park,28,Korea Republic,Gyeongnam FC,57
Xiaoxing Tong,32,China PR,Wuhan Zall,57
Yi Luo,32,China PR,Wuhan Zall,57
Jørgen Olsen Øveraas,29,Norway,Ranheim Fotball,57
Jesse Weißenfels,27,Germany,SV Waldhof Mannheim,57
Dhwanil Singhal,34,India,India,57
Bernaldo Manzano,28,Venezuela,Deportes Tolima,57
Mousa Zoulan,28,Saudi Arabia,Damac FC,57
Santiago Ramos Mingo,17,Argentina,Boca Juniors,56
Filippo Ranocchia,18,Italy,Perugia,56
Dean Campbell,18,Scotland,Aberdeen,56
Kristoffer Askildsen,18,Norway,Stabæk Fotball,56
Moritz Römling,18,Germany,VfL Bochum 1848,56
Jamie Semple,18,Scotland,Motherwell,56
Brayan Palmezano,18,Venezuela,CD Huachipato,56
Firas Al Birekan,19,Saudi Arabia,Al Nassr,56
Agustín Obando,19,Argentina,Boca Juniors,56
Yilmar Velázquez,19,Colombia,Atlético Nacional,56
Diant Ramaj,17,Germany,1. FC Heidenheim 1846,56
Jannes Van Hecke,17,Belgium,SV Zulte-Waregem,56
Andre Hasanally,17,England,Colchester United,56
Justin Roth,18,Switzerland,FC Thun,56
Lorenzo Ruggiero,18,Italy,Perugia,56
Ramy Najjarine,19,Australia,Melbourne City FC,56
Josef Bursik,18,England,Accrington Stanley,56
Dion Sanderson,19,England,Wolverhampton Wanderers,56
Oscar Aga,18,Norway,Stabæk Fotball,56
Thomas Roberts,18,United States,FC Dallas,56
Lucas Bastián Alarcón Ancapi,19,Chile,Universidad de Chile,56
Pedro Campos,19,Chile,Club Necaxa,56
Dominic Revan,18,England,Aston Villa,56
Aboubacar Konte,18,Mali,Sarpsborg 08 FF,56
Alexi Pitu,17,Romania,FC Viitorul,56
Tommy Pawlson,18,England,Bury,56
Tyreke Wilson,19,Republic of Ireland,Manchester City,56
Yahia Fofana,18,France,Le Havre AC,56
Tyreece John-Jules,18,England,Arsenal,56
Okera Simmonds,19,England,Accrington Stanley,56
Adrian Benedyczak,18,Poland,Pogoń Szczecin,56
Hakim Guenouche,19,France,KFC Uerdingen 05,56
Egy Maulana Vikri,18,Indonesia,Lechia Gdańsk,56
Luka Marković,19,Serbia,Crotone,56
Patrik Gunnarsson,18,Iceland,Brentford,56
Geraldo Bajrami,19,Albania,Birmingham City,56
Wilfried Bedfian,17,France,La Berrichonne de Châteauroux,56
Josip Stanisic,19,Germany,Bayern München II,56
Hussain Al Eissa,18,Saudi Arabia,Al Adalah,56
Aksel Aktas,19,Turkey,Kayserispor,56
Tyler Magloire,20,England,Rochdale,56
Johan Castillo Aracena,20,Chile,Deportes Iquique,56
Stephen Mallon,20,Republic of Ireland,Sheffield United,56
Leon Bürger,19,Germany,Eintracht Braunschweig,56
Albie Morgan,19,England,Charlton Athletic,56
Ángel Alonzo,19,Mexico,Club Necaxa,56
Faraj Al Ghashayan,19,Saudi Arabia,Al Nassr,56
Martín Lara,18,Chile,Club Necaxa,56
Bryan Teixeira,18,France,Clermont Foot 63,56
Cristian Dumitru,17,Romania,Academica Clinceni,56
Julian Albrecht,17,Germany,Hertha BSC,56
Cendrim Kameraj,20,Switzerland,FC Lugano,56
Berkay Fındık,18,Turkey,Antalyaspor,56
Pavle Vagic,19,Sweden,AFC Eskilstuna,56
Youssef Maleh,20,Italy,Venezia FC,56
Virgil Gomis,20,France,Macclesfield Town,56
Mukhair Al Rashidi,20,Saudi Arabia,Al Fayha,56
Marius Hauptmann,19,Germany,FSV Zwickau,56
Adrian Delap,20,Republic of Ireland,Derry City,56
Max Kulke,18,Germany,SG Dynamo Dresden,56
Mohammed Al Sufyani,20,Saudi Arabia,Al Wehda,56
Maher Al Mutairi,20,Saudi Arabia,Al Hazem,56
Alexander Ahl Holmström,20,Sweden,Kalmar FF,56
Javier Almerge Viñuales,18,Spain,SD Huesca,56
Dimitrios Ioannidis,19,Germany,Fortuna Sittard,56
Alexandru Zaharia,18,Romania,Politehnica Iaşi,56
Marius Leca,18,Romania,FC Viitorul,56
Timo Hölscher,19,Germany,Viktoria Köln,56
Delio Palmieri,18,France,Royal Excel Mouscron,56
David Sesay,20,England,Crawley Town,56
Martin Ove Roseth,20,Norway,Molde FK,56
Teddy Howe,20,England,Reading,56
Alex Bradley,20,Finland,Lincoln City,56
Ryan Clampin,20,England,Colchester United,56
Rhys Norrington-Davies,20,Wales,Rochdale,56
Rahmat Akbari,19,Australia,Brisbane Roar,56
Glenn Walker,21,Norway,Ranheim Fotball,56
Oliver Klitten,19,Denmark,Aalborg BK,56
Keane Lewis-Potter,18,England,Hull City,56
Owen Bailey,20,England,Newcastle United,56
Lewis Gibbens,18,England,Mansfield Town,56
Yves Kaiser,21,Switzerland,FC Basel 1893,56
Helmer Andersson,17,Sweden,Örebro SK,56
Benjamín Jerez,20,Chile,Colo-Colo,56
Liam Scales,20,Republic of Ireland,UCD AFC,56
Neil Farrugia,20,Republic of Ireland,Shamrock Rovers,56
André Alsanati,19,Sweden,Hammarby IF,56
Taylor Allen,19,England,Forest Green Rovers,56
Paul Grauschopf,20,Germany,SpVgg Unterhaching,56
田中 渉,18,Japan,Vegalta Sendai,56
정치인 郑治仁,21,Korea Republic,Daegu FC,56
Nicolás Cordero,20,Argentina,Club Atlético Huracán,56
Harry Darling,19,England,Cambridge United,56
Dylan Pierias,19,Australia,Western United FC,56
José David Guzmán Pinzón,21,Colombia,Patriotas Boyacá FC,56
Daniel Mushitu,19,Sweden,AIK,56
Oskar Snorre,20,Denmark,Lyngby BK,56
Joe Grayson,20,England,Blackburn Rovers,56
Marco Dulca,20,Romania,FC Viitorul,56
Benjamín Berríos,21,Chile,CD Everton de Viña del Mar,56
Kelyan Guessoum,20,France,Nîmes Olympique,56
沖 悠哉,19,Japan,Kashima Antlers,56
Kasper Waarst Høgh,18,Denmark,Randers FC,56
Juan Diego Nieva Guzmán,20,Colombia,América de Cali,56
Max Sheaf,19,England,Cheltenham Town,56
Flavius Botișeriu,20,Germany,1. FC Kaiserslautern,56
Michael Steinwender,19,Austria,SV Mattersburg,56
Kalle Björklund,20,Sweden,Hammarby IF,56
Nicholas Mickelson,19,Norway,Strømsgodset IF,56
Geani Crețu,19,Romania,Dinamo Bucureşti,56
Lewis Gilboy,19,England,Accrington Stanley,56
Michael Fernandes,20,England,Colchester United,56
Dario De Vita,19,Germany,Viktoria Köln,56
Claudiu Borțoneanu,19,Romania,FC Voluntari,56
Ricardo Cruz,21,Mexico,Deportivo Toluca,56
Yahya Khormi,21,Saudi Arabia,Al Taawoun,56
David Kasumu,19,Nigeria,Milton Keynes Dons,56
Corey O'Keeffe,21,Republic of Ireland,Macclesfield Town,56
Sam Nombe,20,England,Milton Keynes Dons,56
İsmail Ünal,21,Turkey,Alanyaspor,56
Christian Dahle Borchgrevink,20,Norway,Vålerenga Fotball,56
Joe Rankin-Costello,19,England,Blackburn Rovers,56
Henrik Bellman,20,Sweden,Östersunds FK,56
Yoan Zouma,21,France,Bolton Wanderers,56
Jonas Scholz,20,Germany,1. FC Kaiserslautern,56
Naif Almas,19,Saudi Arabia,Al Nassr,56
吴少聪,19,China PR,Guangzhou Evergrande Taobao FC,56
Anthony Driscoll-Glennon,19,England,Burnley,56
Andrés Canchano,20,Colombia,Unión Magdalena,56
Ernesto Carratala Jimenez,19,Germany,Viktoria Köln,56
Boris Essele,19,Cameroon,Amiens SC,56
Ruben Roosken,19,Netherlands,FC Emmen,56
Hasan Huseyin Duman,20,Norway,Strømsgodset IF,56
Louis Jones,20,England,Doncaster Rovers,56
Sebastian Pedersen,20,Norway,Strømsgodset IF,56
Lewis Butroid,20,England,Scunthorpe United,56
Leon Davies,19,England,Cambridge United,56
Jason Law,20,England,Mansfield Town,56
Steven Alzate,20,England,Brighton & Hove Albion,56
Dominik Jończy,22,Poland,Zagłębie Lubin,56
조용재 赵永载,21,Korea Republic,Daegu FC,56
Khaled Al Dubaysh,20,Saudi Arabia,Al Adalah,56
Dan McNamara,20,England,Newport County,56
Andrew Lyons,18,Republic of Ireland,Bohemian FC,56
Laorent Shabani,19,Albania,Malmö FF,56
Pacifique Niyongabire,19,Burundi,Adelaide United,56
Stan van Dijck,18,Netherlands,VVV-Venlo,56
Patrick Okonkwo,21,Nigeria,Atlanta United,56
Michael Andrés Fuentes Vadulli,21,Chile,Deportes Iquique,56
山田 康太,19,Japan,Nagoya Grampus,56
Liam Kerrigan,19,Republic of Ireland,UCD AFC,56
Wiktor Pleśnierowicz,18,Poland,Lech Poznań,56
Hussain Salem,21,Saudi Arabia,Ettifaq FC,56
Isaac Olaofe,19,England,Millwall,56
Conor Kearns,21,Republic of Ireland,UCD AFC,56
Azad Toptik,20,Turkey,Kasimpaşa SK,56
Benji Michel,21,United States,Orlando City SC,56
Ibrahim Karamoko,18,France,Chievo Verona,56
Shaquil Delos,20,France,FC Chambly Oise,56
Caolán Boyd-Munce,19,Northern Ireland,Birmingham City,56
Mateusz Spychała,21,Poland,Korona Kielce,56
Philippe Paulin Keny,20,Senegal,La Berrichonne de Châteauroux,56
Philipp Bachmeier,20,Germany,KFC Uerdingen 05,56
Cem Sabanci,19,Germany,MSV Duisburg,56
Joep Munsters,17,Netherlands,VVV-Venlo,56
Cristian Pizarro,18,Chile,CD O'Higgins,56
Jesús Garza,19,Mexico,Tigres U.A.N.L.,56
Connor van den Berg,18,Netherlands,Willem II,56
Łukasz Soszyński,21,Poland,Zagłębie Lubin,56
Sang Su Lee,20,Korea Republic,Pohang Steelers,56
Rory Feely,22,Republic of Ireland,Waterford FC,56
Jack McMillan,21,Scotland,Livingston FC,56
Mohamed Zeroual,20,Belgium,KV Mechelen,56
Tadhg Ryan,22,Republic of Ireland,Cork City,56
Thomas Heward-Belle,22,Australia,Sydney FC,56
Liam Gibson,22,England,Grimsby Town,56
Linus Obexer,22,Switzerland,FC Lugano,56
Lucas Dias,20,France,Nîmes Olympique,56
Marcelo Agustín Miño,21,Argentina,Rosario Central,56
Muteb Al Hamad,20,Saudi Arabia,Damac FC,56
Kevin Tshiembe,22,Denmark,Lyngby BK,56
Giles Phillips,22,United States,Wycombe Wanderers,56
Johannes Tartarotti,19,Austria,SCR Altach,56
Daniel Stynes,20,Australia,Perth Glory,56
Juan Carlos Caicedo,21,Colombia,Deportivo Cali,56
Peter Ouaneh,21,France,FC Lorient,56
Amar Hodžić,19,Austria,Wolfsberger AC,56
Meinhard Olsen,22,Faroe Islands,Kristiansund BK,56
Nasser Al Dajani,22,Saudi Arabia,Al Taawoun,56
Gaétan Bosiers,20,Belgium,KV Mechelen,56
Andreas Heimer,21,Denmark,Silkeborg IF,56
Theo Rieg,19,Germany,Bayern München II,56
Alessandro Fiordaliso,20,Italy,Venezia FC,56
Habib Al Watyan,22,Saudi Arabia,Al Fateh,56
Mikey Place,21,Republic of Ireland,Finn Harps,56
Andy Fisher,21,England,Blackburn Rovers,56
Rauf Öktem,22,Turkey,Alanyaspor,56
Dariusz Pawłowski,20,Poland,Górnik Zabrze,56
Daniel Guadalupe López Valdez,19,Mexico,Club Tijuana,56
William Fitzgerald,20,Republic of Ireland,Waterford FC,56
Lucas Buades,21,France,Nîmes Olympique,56
Gastón Zuñiga,19,Chile,CD O'Higgins,56
Gaute Vetti,20,Norway,Sarpsborg 08 FF,56
Tim Rönning,20,Sweden,IF Elfsborg,56
Ema Twumasi,22,Ghana,FC Dallas,56
Camilo Andrés Ariza Ávila,23,Colombia,Deportivo Cali,56
Jonas Meiser,20,Germany,SG Sonnenhof Großaspach,56
Daniël Camara Bos,20,Netherlands,FC Emmen,56
安藤 瑞季,19,Japan,Cerezo Osaka,56
松田 陸,20,Japan,Gamba Osaka,56
Miguel Ospino,23,Colombia,Unión Magdalena,56
Ruyeri Blanco,20,Colombia,Unión Magdalena,56
Josh Nisbet,20,Australia,Central Coast Mariners,56
Jonathan Chacón,21,Argentina,Gimnasia y Esgrima La Plata,56
Jae Won Shin,20,Korea Republic,FC Seoul,56
Luis Quintero,21,Colombia,América de Cali,56
Brandon Onkony,21,Switzerland,Hobro IK,56
Michał Trąbka,22,Poland,LKS Lodz,56
Johannes Kraus,19,Germany,FC Würzburger Kickers,56
Jon Irazábal Iraurgui,22,Spain,CD Mirandés,56
Abel Aguirre,22,Mexico,Club Necaxa,56
Steven Ako,20,France,En Avant de Guingamp,56
Arno Van Keilegom,20,Belgium,KV Mechelen,56
Brayan Moreno,19,Colombia,Atlético Huila,56
Alex Palmer,22,England,Plymouth Argyle,56
Mark Shelton,22,England,Salford City,56
Daniel Devine,21,England,Bradford City,56
Mohammed Al Saeed,22,Saudi Arabia,Al Fateh,56
李海龙,22,China PR,Shandong Luneng TaiShan FC,56
Chris Zuvela,22,Australia,Sydney FC,56
魏震,22,China PR,Shanghai SIPG FC,56
Marokhy Ndione,19,Sweden,IF Elfsborg,56
Fahad Al Rashidi,22,Saudi Arabia,Al Taawoun,56
王子铭,22,China PR,Beijing Sinobo Guoan FC,56
Ciaron Brown,21,England,Cardiff City,56
Ali Al Hassan,23,Saudi Arabia,Al Fateh,56
Piotr Pierzchała,20,Poland,Korona Kielce,56
김지현 Ji Hyun Kim,22,Korea Republic,Gangwon FC,56
Hani Al Sibyani,20,Saudi Arabia,Al Fayha,56
Théo Vermot,22,France,AS Saint-Étienne,56
Omar Al Jadaani,20,Saudi Arabia,Al Ittihad,56
Nattawut Suksum,21,Thailand,FC Tokyo,56
陈科睿,23,China PR,Shandong Luneng TaiShan FC,56
Jhon Labastidas,21,Colombia,Unión Magdalena,56
鲍亚雄,22,China PR,Hebei China Fortune FC,56
Mathieu Troonbeeckx,21,Belgium,Sint-Truidense VV,56
Tomás Ahumada,18,Chile,Audax Italiano,56
Jakov Medić,20,Croatia,SV Wehen Wiesbaden,56
Dominik Klann,20,Germany,SC Preußen Münster,56
Charlie Cooper,22,England,Forest Green Rovers,56
Dario Marzino,22,Switzerland,BSC Young Boys,56
Calum Waters,23,Scotland,St. Mirren,56
Mario Shabow,21,Australia,Central Coast Mariners,56
Edi Sylisufaj,19,Sweden,Falkenbergs FF,56
Jonas Dakir,22,Denmark,Randers FC,56
Brian Chevreuil,22,Haiti,La Berrichonne de Châteauroux,56
Tyler Hamilton,20,England,Hull City,56
Jack Tucker,19,England,Gillingham,56
Jon Gallagher,23,Republic of Ireland,Aberdeen,56
Léo Farine,22,Switzerland,Neuchâtel Xamax,56
Abdullah Al Bahri,24,Saudi Arabia,Ettifaq FC,56
Ryan Graydon,20,Republic of Ireland,Bohemian FC,56
Ali Al Hidhani,21,United Arab Emirates,Al Ain FC,56
Carlos Pájaro,21,Colombia,Once Caldas,56
Paul Costea,20,Romania,Gaz Metan Mediaş,56
Jérémy Corinus,22,France,AC Ajaccio,56
Silas Schwarz,21,Germany,SV Waldhof Mannheim,56
Florian Kastenmeier,22,Germany,Fortuna Düsseldorf,56
Damian Michalski,21,Poland,Wisła Płock,56
Giorgio Lionetti,21,Italy,Castellammare di Stabia,56
Omar Rodríguez,22,Colombia,Independiente Santa Fe,56
Florian Heister,22,Germany, SSV Jahn Regensburg,56
Hugo Vandermersch,20,France,Stade Malherbe Caen,56
Víctor Jaramillo,20,Mexico,Deportivo Toluca,56
Max Winter,18,Germany,RB Leipzig,56
Tomasz Dejewski,24,Poland,Lech Poznań,56
崔明安,24,China PR,Dalian YiFang FC,56
Sam Lavelle,22,Scotland,Morecambe,56
Alfie Kilgour,21,England,Bristol Rovers,56
林 瑞輝,22,Japan,Gamba Osaka,56
龙威,24,China PR,Henan Jianye FC,56
